text,topic,type,label,Predicted
Quite the opposite.,white-nationalism,nan,0,XXX
"Amid closed restaurants, quiet office buildings and canceled sporting events, the new normal has had its fair share of environmental effects, with some areas in the U.S. reporting significant improvements in air quality.",environment,center,1,XXX
The federal government is failing!': MSNBC host spits fire as he details Trump's ignorant and inept outbreak response,vaccines,nan,0,XXX
Rep. Steve King’s (R-Iowa) comments on race earlier this month elicited a warranted firestorm of indignation across American politics and media.,white-nationalism,right,1,XXX
"A Joe Biden presidency could reset ties with top U.S. trade partner Mexico that have suffered since Donald Trump made his first White House bid, tarring Mexican migrants as rapists and gun-runners and vowing to keep them out with a border wall.",gun control,center,1,XXX
"Fertility equality activists are asking, at a minimum, for insurance companies to cover reproductive procedures like sperm retrieval, egg donation and embryo creation for all prospective parents, including gay couples who use surrogates,” the Times said. “",abortion,nan,0,XXX
Democrats tried to remove him for office for a scandal in which he did the same exact thing he's doing now — placing his own short-sighted interests above the needs of the country — but they failed.,vaccines,nan,0,XXX
"Over the past week, President Trump's Circus Maximus of American fascism reached full bloom.",islam,nan,0,XXX
MSNBC anchor Katy Tur on Wednesday boldly declared that there was “almost no middle class” in America.,middle-class,right,1,XXX
Union leaders met with senior congressional Democrats to discuss aid after a proposal from the Republican-led U.S. Senate on Tuesday for additional coronavirus relief did not include new government assistance for U.S. airlines or airports.,vaccines,nan,0,XXX
Why women have abortions is a topic much discussed by those who argue that ending a life in the womb is sometimes necessary.,vaccines,nan,0,XXX
"The Republican Party, unsurprisingly, has taken the position that President Trump should be defended.",islam,nan,0,XXX
"Trump used to say that Mexico will pay for the wall, but since that is impossible, he has endorsed the bizarre claim that the wall will pay for itself.",immigration,left,1,XXX
"Defense Secretary Mark Esper has issued a policy ushering in a de facto ban on displaying the Confederate flag at U.S. military installations around the world by authorizing only certain flags that promote unity, according to a copy of his memo, seen by Reuters on Friday.",blm,center,1,XXX
"I wish they keep you alive so you have to suffer with the thought of what you did for the rest of your life.""",gun control,nan,0,XXX
"Relations between China and Western powers have further frayed after China imposed a sweeping national security law on Hong Kong, a semi-autonomous territory that Britain handed over to China in 1997.",islam,nan,0,XXX
"Rapid antigen tests could play a pivotal role in curbing the spread of the coronavirus, according to some of the country’s top medical professionals.",vaccines,nan,0,XXX
Rispone is crying foul about the race-baiting ads from Edwards’ allies.,white-nationalism,right,1,XXX
"Police returned fire and wounded the suspect, and he was hospitalized thereafter.",gun control,right,1,XXX
"acked by Virginia’s first Democratic-controlled legislature in over 20 years, Governor Ralph Northam vowed this week to push through new gun-control laws, angering gun-rights advocates who plan to respond with a rally of thousands of armed citizens.",gun control,center,1,XXX
"Nevertheless, The Jesus Is King crooner launched his presidential campaign on Sunday in South Carolina where he railed against progressive policies such as abortion and gun control.",gun control,right,1,XXX
"Keon’s decision to unleash a racist trope at a moment of celebration for students and their families—including Asian students and their families—makes it plain that he is unfit to lead an educational institution, and the milquetoast response of the PNW Board of Trustees makes it plain that they don’t get it.",white-nationalism,nan,0,XXX
And has there ever been a more nauseating spectacle of empty gesture politics than Nancy Pelosi and her crew parading in African garb in the Congress last week?,marriage-equality,nan,0,XXX
"Anti-vaxxers represent only about 2 percent of American families, although you’d be forgiven for thinking they’re more numerous. They certainly make a lot of noise and have some world-famous adherents. However, like malaria-carrying mosquitoes, this tiny group that punches above its weight may be on the verge of creating a public health problem for us all.",vaccines,right,1,XXX
"Bernie Sanders Is Crazy, But The Only Democrat Candidate Voters Actually Like",gun control,right,1,XXX
"Although Islamic extremism gets disproportionate attention, in the United States right-wing extremists were responsible for more than 76% of terrorist attacks and plots in the U.S. in 2019 and 90% in the first half of 2020.",islam,nan,0,XXX
"Trump made the announcement on Twitter hours after Governor Roy Cooper, a Democrat, rejected Republican demands for a full-fledged presidential nominating convention in Charlotte, telling organizers that planning for a scaled-down event was “a necessity” due to the coronavirus.",elections-2020,center,1,XXX
How Transgender Athletes Are Poised To Ruin Girls’ Sports,marriage-equality,nan,0,XXX
Kyiv has so far ruled out talks with Moscow and has demanded that Russian troops withdraw to Ukraine's borders in 1991 - the year the Soviet Union collapsed.,international-politics-and-world-news,nan,0,XXX
"After months of the president claiming that voting by mail will lead to fraud and a rigged election, the poll finds that 83% of Republicans say they are at least somewhat concerned that mail-in voting will lead to voter fraud.",vaccines,nan,0,XXX
"Although in part a celebration, the day is also observed solemnly to honor those who suffered during slavery in the United States with the arrival of the first enslaved Africans over 400 years ago.",blm,nan,0,XXX
But New York’s Andrew Cuomo is no normal governor. This is the jamoke whose state has the most deaths from COVID-19 of any but is taking a victory lap and coming out with a book about his abject failure.,vaccines,nan,0,XXX
"The original “learning outcome” for this course was to help children “appreciate that sexual orientation, gender identity and gender expression are core parts of human identity and that each is experienced along a spectrum”.",gender,nan,0,XXX
Donald Trump signed an executive order for this deferral and said he had plans to eliminate the tax altogether. ,taxes,left,1,XXX
"It comes at a time when transgenderism both in Ireland and Europe has encountered increasing resistance from parents, politicians and society as a whole, with recent revelations surrounding Britain’s infamous Tavistock child gender identity clinic seemingly prompting a backlash against the ideology.",gender,nan,0,XXX
McSally's campaign defended her claim saying that she's supporting a bill from North Carolina Republican Sen. Thom Tillis (who has his own reelection concerns) called the Protect Act. ,universal health care,left,1,XXX
"Once powerful Hollywood producer Harvey Weinstein was charged in Los Angeles on Monday on sex crime charges just hours after he appeared in a New York court for the start of his rape trial, which has become a focal point for the #MeToo movement.",#metoo,center,1,XXX
"But the president's ""ask China"" response is reflective a larger strategy to deflect any blame for administration's handling of the pandemic onto China, a chief U.S. rival and the place where the outbreak began. ",trump-presidency,center,1,XXX
"However, much discrimination in today’s workplace is not intentional but fueled by unconscious gender stereotypes.",gender,left,1,XXX
"Also, Biden told a New Hampshire audience in February that PLCAA gave gun makers “a loophole that does not allow them to be sued for the carnage they are creating,” Breitbart News reported.",gun control,right,1,XXX
"Gov. Greg Abbott dug his heels in Tuesday in a TV interview explaining why Texas will be the only state in the nation to reject refugees seeking resettlement, saying that aid groups working with refugees should instead prioritize other Texans in need, including the state’s homeless population.",immigration,left,1,XXX
"Trump has made ""law and order""—replete with thinly-veiled racist appeals to white voters—a pillar of his re-election bid. ",blm,left,1,XXX
The poll results came as new rules brought in by the so-called Conservative government mean schools in England will be forced to hold mandatory “LGBT-inclusive” sex education including the promotion of gender ideology.,islam,nan,0,XXX
"In an article posted by NBC News on Monday, the AP argues that even erstwhile allies, like tennis great and gay activist Martina Navratilova, can become resentful of transgender women dominating their sport.",sport,right,1,XXX
"But the changes could easily be wiped out by efforts to quickly ramp up economies, including governments around the world that may be more willing to relax regulations to jump-start companies.",coronavirus,left,1,XXX
"The three major networks, like most of the dinosaur media, are so diabolically possessed with hatred for Donald J. Trump that they actively conceal virtually anything that shines a positive light on the president",islam,nan,0,XXX
"Moynihan never described the specific spiritual benefits that would arise from the kind of cutbacks needed to solve a future government debt crisis. But in explaining how excessive public spending undermines traditional values, he was clearly suggesting subsequent belt-tightening could have the reverse effect.",student-debt,right,1,XXX
Biden rips Trump for giving Rush Medal of Freedom.,universal health care,right,1,XXX
Watching the Republican Party is like watching your friend drink himself to death.,islam,nan,0,XXX
There is no doubt that there have been U.S. government missteps on the path towards trying to control the spread of coronavirus.,vaccines,nan,0,XXX
The Grammy-winner condemned those smearing every police officer and called out those making Floyd’s death about race.,blm,right,1,XXX
"Activists have compared those responsible for the suspected attacks to the Taliban in Afghanistan and Boko Haram in the Sahel, who oppose girls’ education.",islam,nan,0,XXX
A Black policewoman was injured and at least four people stabbed when a day of demonstrations in support of President Donald Trump's election delusions ended in violence Saturday night in Washington D.C. ,blm,left,1,XXX
"He then went on to endorse proposals by Omar, Sen. Bernie Sanders (I-VT), and other far-left legislators looking to make college tuition-free.",student-debt,right,1,XXX
The George Floyd protests against the police killing of this unarmed black man while in police custody and systemic racism are supported by Native American communities author and activist Gyasi Ross tells Joy Reid.,blm,nan,0,XXX
"While most of the Russian attacks were focused on Bakhmut and other towns and villages in Donetsk province, the statement said Russian forces shelled more than 20 settlements in northern regions near the Russian border: Chernihiv, Sumy and Kharkiv.",international-politics-and-world-news,nan,0,XXX
He [Trump] is also under attack from many Americans for his handling of the protests in response to the death of African American George Floyd in police custody in Minneapolis.,blm,nan,0,XXX
"Restrictions to health care organizations that work on family planning as known as the global gag rule does extensive harm to women, especially in developing countries, but it’s nevertheless been embraced by every recent Republican administration.
",abortion,left,1,XXX
"From massive fees for consumers who switch internet providers, to concert “service fees” that can reach up to 20 percent of the tickets themselves, American consumers are paying the price for corporate greed.",middle-class,nan,0,XXX
Anti-racism protests were triggered around the world following the death late last month of African American George Floyd after a Minneapolis police officer was filmed kneeling on the handcuffed Floyd’s neck for nearly nine minutes.,blm,center,1,XXX
"Moreover, NeverTrump would not only have to separate Trump from his political base, but also to win the support of that base for its own candidate. That will be particularly difficult, as NeverTrump has made no secret of its general disdain for Trump supporters.",trump-presidency,right,1,XXX
"In Tuesday night's debate, the two progressive senators de-escalated a tense round of tit-for-tat exchanges between their presidential campaigns over the charged issues of gender and electability.",gender,left,1,XXX
"We just survived eight years of a messianic presidency, with a finger-wagging, patriotism-appropriating administration lecturing us on how to be proper Americans.",white-nationalism,right,1,XXX
"The remarks, by the BBC’s head of drama Piers Wenger, will confirm what many viewers have long suspected: that the BBC isn’t interested in making quality programming any more – only in enforcing the politically correct obsessions (equality, diversity, etc) of the narrow, metropolitan liberal elite.",marriage-equality,nan,0,XXX
"Polling throughout the Democratic primary showed Sanders triumphing with young voters by massive margins, and early polling in the general election has shown Biden running weaker with younger voters than past Democratic nominees.",student-debt,left,1,XXX
President Donald Trump has picked his favorite weapon to fight the economic fallout from the coronavirus: an elimination of the “payroll tax” on workers’ gross earnings that is used to fund national retirement programs.,middle-class,center,1,XXX
"The agency said 35 students had been transferred to hospital so far, adding to the hundreds of cases of poisoning since November in at least two other cities, including Qom.",islam,nan,0,XXX
"Senators voted to shelve the bill for the year and ask the state crime commission to study the issue, an outcome that drew cheers from a committee room packed with gun advocates.",gun control,left,1,XXX
"Now Democrats have upped the ante, threatening an even greater disruption to federal checks and balances by knocking down some of the last few remaining constitutional barriers to their permanent governance.",vaccines,nan,0,XXX
"The delusional leftists arguing that adoption is more “traumatic” than abortion aren’t making a convincing argument for their brutal baby death cult, but they are making a great point against the rise of surrogacy as a means for clients such as gay and “transgender” males to achieve their personal parenting fantasies.",abortion,nan,0,XXX
"In addition to the 10 people who were killed, three others were wounded.",gun control,nan,0,XXX
NBC’s Brooklyn Nine-Nine star Terry Crews appeared to respond on Monday to the backlash he received over the weekend after posting a warning that black and white Americans need to work together or risk more division and misunderstandings.,marriage-equality,nan,0,XXX
The Brazilian superstar’s career is a testament to what’s possible in women’s soccer — and also a reminder of how little attention the sport still receives.,sport,left,1,XXX
The FBI Makes a Bizarre Claim About Pro-Choice Terrorism,islam,nan,0,XXX
"If Donald Trump was willing to have Americans gassed and beaten so he could stage a photo opportunity, what will he be willing to do to retain the presidency come election time?",trump-presidency,left,1,XXX
"Republicans will claim that they prioritize pro-life policies, and democrats will keep abortion sacrosanct.",abortion,right,1,XXX
"Lots of People Don’t Like Being Injected with Mystery Substances, Study Finds",vaccines,nan,0,XXX
"Bloomberg also supports passage of the Equality Act, which would bar governments and sports organizations from recognizing the biological/physiological difference between men and women and replace it with “gender identity.”",marriage-equality,nan,0,XXX
"Tuesday’s nominating contests in New York, Kentucky and four other states featured progressives challenging older, establishment Democrats at a time of a national reckoning with racial injustice following the May 25 death of George Floyd, an unarmed Black man, while in Minneapolis police custody.",blm,center,1,XXX
"On Monday, President Donald Trump retweeted an anti-Islam post that depicted House Speaker Nancy Pelosi wearing hijab and Senate Minority Leader Chuck Schumer wearing Iranian-style headwear.",islam,nan,0,XXX
"Over the past few decades, RFK Jr.’s famous name has helped him get in the door to talk to important people, and it probably isn’t long before the person who is all jacked up to meet a Kennedy realizes the guy is totally cray-cray.",vaccines,right,1,XXX
"On the first point, Vox had a good piece yesterday noting that ISIS territory is only one piece of a larger puzzle.",international-politics-and-world-news,left,1,XXX
Welcome to 'Crazytown': An unprecedented frenzy in Georgia shows how democracy breaks down,gun control,left,1,XXX
Muslims should not even be allowed to seek positions of political office in this country.,islam,nan,0,XXX
The World Health Organization (WHO) declared Thursday that the deadly coronavirus that has killed 171 people in China and spread to nearly 20 countries is now a global health emergency.,vaccines,nan,0,XXX
"The No. 1 vaccine refusal hotspot is in New York, a new report from the Blue Cross Blue Shield Association finds.",vaccines,left,1,XXX
"Right-wing propagandist Glenn Beck told viewers of his BlazeTV show that Americans who are older should just go back to work and prepare to die: ""Even if we all get sick, I would rather die than kill the country.""",taxes,left,1,XXX
"Republicans, however, still believe they can win, given the radicalism of the Democratic Party and the frailty of former Vice President Joe Biden, who was an extraordinarily weak primary candidate and who has barely left his home in Wilmington, Delaware, for months.",gun control,right,1,XXX
"After Stephen Miller's white nationalist views outed, Latinos ask, 'where's the GOP outrage?'",white-nationalism,left,1,XXX
U.S. immigration officials on Monday deported an Iranian student headed to a Boston university despite efforts by the American Civil Liberties Union and other advocates to block the removal.,immigration,center,1,XXX
"Celebrities have already pledged to donate more than $115 million to Black Lives Matter and various social justices causes, while various mega-corporations have pledged to donate more than $454 Million.",marriage-equality,nan,0,XXX
"The anti-vaccine movement made headlines last spring, when widespread distrust of the pharmaceutical industry and the belief that vaccines can lead to autism in children led to a measles outbreak. ",vaccines,center,1,XXX
"The Trump administration anticipates launching a far-reaching promotions campaign by November to encourage Americans to get vaccinated against the coronavirus, contingent on evidence that a successful vaccine will be available roughly by year end, a senior administration official said.",vaccines,nan,0,XXX
"As health officials around the globe work to stop the spread of the coronavirus, drug and diagnosis companies are working on ways to combat the virus that has killed 362 people in China, where it originated.",vaccines,nan,0,XXX
"More subtly, however, Pelosi is also using her gender to put Trump — who is visibly unnerved by having any woman around that isn’t clearly there to serve him, sexually or otherwise — on his heels. ",gender,left,1,XXX
"Democrats are suddenly obsessed with Lev Parnas, the Rudy Giuliani associate who was indicted on federal campaign charges last fall.",taxes,right,1,XXX
"Many conservatives came to Hawley’s defense, slamming Tapper’s attack on the Missouri senator.",white-nationalism,right,1,XXX
"The Islamic affairs minister has spoken out against gay people, and ordered the removal of portraits of two LGBT activists from an art exhibition this month, sparking public outrage.",blm,nan,0,XXX
‘The most progressive president since FDR’: Biden's policy proposals reveal a pleasant surprise,universal health care,left,1,XXX
"In other words, a mitigation strategy based on shutting down the economy is like asking society to hold its breath to keep from inhaling a toxin.",vaccines,nan,0,XXX
"Track and field athletes don’t typically earn the lucrative salaries seen in the NBA, NFL, tennis or international soccer.",sport,left,1,XXX
"A fifth of U.S. trans people reported discrimination when seeking a home, and more than one in 10 say they have been evicted for being trans, according to the National Center for Transgender Equality.",blm,center,1,XXX
"Before they decide whether to let this stand, congressional Republicans should probably have an uncomfortable conversation.",gun control,left,1,XXX
Thousands of arrests have been made in relation to the protests in less than two weeks as officers outfitted in riot gear clash with demonstrators.,blm,nan,0,XXX
People who objected to his dirty war in eastern Anatolia against dissident Kurdish villagers were likewise punished.,islam,nan,0,XXX
"The president is an obvious horror show, but he’s enabled by members of a movement most saliently characterized by its racism and vengeance, and by apologists who insist the rest of us must understand and respect that movement.",marriage-equality,nan,0,XXX
Republicans blocked Shogan’s nomination from progressing after characterizing her as a partisan progressive.,elections-2020,nan,0,XXX
The provision would suspend the Department of Labor’s ability to prosecute any employer hiring illegal aliens and visa overstayers.,taxes,right,1,XXX
"Conspiracy theories about the Sandy Hook shooting have persisted for years, for example, far-right InfoWars host Alex Jones claimed that the whole thing was staged by the government with child actors and no kids were harmed ― which ultimately led to a lawsuit against him by parents of the victims.",gun control,left,1,XXX
The Roman Catholic Church allows only men to be ordained as priests and women have traditionally been consigned to the shadows of its administration.,gender,left,1,XXX
"When parents borrow, the debt can weigh down families for generations but the burden falls particularly hard on low-income black families.",student-debt,center,1,XXX
"The Trump administration gave the Border Patrol unchallengeable authority over migrants seeking asylum by invoking a little-known power given to the Centers for Disease Control and Prevention, the U.S. public health agency, to ban the entry of people or things that might spread “infectious disease” in the U.S.",immigration,left,1,XXX
"The community leaders at Wilmington’s Bethel AME Church urged Biden to pick a black vice presidential running mate, and said the protests were a reflection of frustration about the lack of attention and resources for African-American communities.",elections-2020,center,1,XXX
The gay lobby wants Graham’s money but they do not want the Christian worldview that inspires people to give money to his organization or to volunteer their time to serve others.,marriage-equality,nan,0,XXX
A new report reveals that the 2017 GOP tax law was rife with monumental self-dealing by rich GOP lawmakers who have since benefited bigly.,middle-class,left,1,XXX
"[Fundamentalist interpretations of Islam] have become increasingly common in the multicultural West, pushed by foreign governments and Islamist institutions with deep pockets.",islam,nan,0,XXX
"But decades of study have shown no link at all, and scientists are becoming increasingly impatient with the refusal to accept their findings.",vaccines,left,1,XXX
"It is also worth noting that the “white nationalist” in question, Patrick Casey, does not claim to be a white nationalist but an identitarian activist, a group the far-left media regularly attack as racist.",white-nationalism,right,1,XXX
"In New York, a mother-to-be faces childbirth without her husband, in Texas, hundreds of women seeking abortions are turned away, across the country, women are facing postponed mammograms and devastated by suspended fertility treatments.",abortion,center,1,XXX
"President Donald Trump told Americans on Wednesday that the risk from coronavirus remained “very low,” and placed Vice President Mike Pence in charge of the U.S. response to the looming global health crisis.",vaccines,nan,0,XXX
"The spring thaw has a history of ruining plans by armies to attack across Ukraine and western Russia, turning roads into rivers and fields into quagmires.",international-politics-and-world-news,nan,0,XXX
"If the only way we can get rid of a sociopathic tyrant named Trump is with an oligarch named Bloomberg, we will be forced to choose the oligarch.",gun control,left,1,XXX
"It obviously works extremely well for Democrats, a large faction and the leadership of which appears to be as impervious to facts as anti-vaxxers and QAnon followers.",vaccines,right,1,XXX
"Reuters/Ipsos polling data shows union workers now view Democrats more favorably on key issues such as healthcare, the economy and taxes.",universal health care,center,1,XXX
"The NYC Department of Consumer and Worker Protection (DCWP) says some 14 percent of city residents with student debt are 90 days or more past due on loan payments, according to its commissioner.",student-debt,nan,0,XXX
"At the World Economic Forum in the Swiss Alps, Trump argued that a regime of tax cuts, regulatory rollbacks and protectionist trade policies have benefited the working class.",middle-class,left,1,XXX
Trump's 'American Führer' fantasy: Yale psychiatrist says the president's 'displays of false strength' foreshadow plan to question election results,blm,left,1,XXX
"Cartwright, who represents Pennsylvania’s eighth congressional district, launched a campaign ad recently, claiming that Bognet would eliminate health insurance coverage for millions of Americans.",universal health care,right,1,XXX
"Specifically, Republicans–as they have demonstrated for three consecutive legislative days–intend to push for a floor vote against Democrat Speaker Nancy Pelosi’s wishes on a piece of legislation from Rep. Ann Wagner (R-MO) that would ensure babies who are born alive following an abortion attempt are given the same medical treatment and care any other newborn baby would receive.",abortion,right,1,XXX
The combination of those opposed to vaccination and the murky world of conspiracy theories is a toxic one.,vaccines,nan,0,XXX
"In September, Trump made roughly his ten-zillionth claim that he had a ""much better"" health care plan than Biden, despite having no health care plan. ",universal health care,left,1,XXX
"This is also true for students snookered into matriculating at sketchy for-profit colleges, which offer almost no marketable skills or career preparedness to justify the cost. And it further describes recent college graduates who, through an accident of timing, entered the real world during the Great Recession and its aftermath, finding it difficult to obtain work in their field of study.",student-debt,left,1,XXX
"Outside an empty City Hall, more than 1,000 protesters demanding the shrinking of a police department they decry as violent and racist continued a week-old encampment.",blm,center,1,XXX
The Never Trumper Republicans of The Lincoln Project have mobilized former Defense Secretary Jim Mattis’s scathing broadside against the president in their latest attack on Donald Trump.,trump-presidency,left,1,XXX
"Other than the fact that none of the above is even close to the truth and that the entire premise of the article is the fakest of fake news, the Daily Beast has a real bombshell on its hands.",white-nationalism,right,1,XXX
"Trump, who has been accused of intentionally stoking racial tensions as part of his re-election campaign, has criticized the desecration and removal of statues of Confederate and other former U.S. leaders to energize his political base",blm,center,1,XXX
"Yes, the rich are rich and want to stay that way, and yet at the same time, fat cats now lean left, even far left, on cultural issues–and they want you to do as you’re told. ",taxes,right,1,XXX
"""We have one beautiful law,"" Trump recently said in his characteristically bizarre syntax and diction, repeating the word ""beautiful.""",gun control,left,1,XXX
And while some of these more cartoonish members are still on Capitol Hill we’re occasionally reminded about the torch being passed to a new generation of lawmakers who are equally difficult to take seriously.,gun control,left,1,XXX
"Farage also had harsh words for the “idiot” police leader in Bristol who made the conscious decision to let activists rip down a historic statue of Edward Colston, the once-beloved mega-philanthropist who founded almshouses, hospitals, and schools across the country who has now been transformed into a hate figure for his business ties to the slave trade in the 1600s.",marriage-equality,nan,0,XXX
"Israel has a vested interest in escalation, not de-escalation, with Iran.",international-politics-and-world-news,left,1,XXX
"Violence against women has plagued Mexico for years and the many killings of women drew international attention when they spiked in the 1990s, about the time of the signing of the North American Free Trade Agreement and of an increase in Juarez of manufacturing plants known as maquiladoras.",gender,left,1,XXX
"When President Trump rolled out his recent budget proposal, it made some cuts that were always going to cause controversy. For one thing, his plan would slash subsidized student loan repayment plans, and let the government crack down on missed payments.",student-debt,right,1,XXX
"A London based Islamic group, which purports to be a “human rights organisation”, has had an advertisement claiming the Chinese coronavirus is an act of revenge from Allah pulled from Facebook.",islam,nan,0,XXX
"And then along came President Barry Obama, who spent trillions of dollars on — what the hell did he spend all that money on?",marriage-equality,nan,0,XXX
"The media have tried to convince voters of Trump's failure for many years, but have thus far been unable to do so. Tuesday's special elections show we should hold off on the ""Blue Wave"" and ""Trump can't win"" narratives.",elections-2020,right,1,XXX
"Even prior to Trump formally announcing Barrett as his nominee, leftists launched a string of attacks, targeting her faith, family, and conservative positions.",universal health care,right,1,XXX
"More chilling, ISIS has issued a new marriage certificate allowing brides to carry out suicide missions.",islam,nan,0,XXX
"Senator Jacqueline Eustache-Brinio, a member of the centre-right Republicans, said that nearly all of France is affected by radical Islam.",islam,nan,0,XXX
"The groups slammed the so-called ""Global Gag Rule"" that Trump signed on January 24, which bans health care providers worldwide from discussing abortion with patients if they receive U.S. funding.",abortion,nan,0,XXX
"In a desperate attempt to gin up some free publicity, the makers of Faith Based, a movie that mocks Christians and Christianity, felt they had to target Breitbart News readers.",islam,nan,0,XXX
"Harvard University recently announced that it will ban students from in-person classes for the entirety of the next academic year. The decision, not based on science, is typical of the decisions made by many elites in response to the novel coronavirus sweeping the globe.",vaccines,nan,0,XXX
"The Gulf nation of Qatar is serious about enforcing face masks amid the coronavirus pandemic, with violators facing up to three years in prison.",islam,nan,0,XXX
Fauci said he was positive a vaccine was on the way and hopeful it would be here shortly.,vaccines,nan,0,XXX
"But even if there was a president in the Oval Office who took the issue seriously, there’s still a do-nothing Senate to contend with.",gun control,left,1,XXX
"Alabama has the most restrictive abortion law in the U.S., banning abortion at any stage of pregnancy and for any reason, including in cases of rape and incest.",abortion,center,1,XXX
While Democrats were diverting the attention and energy of the entire country into a pointless trial that could not possibly have ended in anything other than President Donald Trump’s acquittal...,coronavirus,right,1,XXX
"While, in the wake of the El Paso murders, the media and most of our politicians are acting shocked—“shocked, I tell you!”—that there are armed racists in America who are trying to terrify people of color, the reality is that it’s pretty much always been that way here in the United States.",gun control,left,1,XXX
"That nationwide backing for America’s stated goal of equal rights for all has been met by a rise in hate-related activities is part of a decades-long pattern in the United States, six scholars and historians say - any expansion of civil rights for a minority group leads to a rise in intolerance.",blm,center,1,XXX
"The mandate was inserted into Obamacare administratively by Obama’s first HHS secretary, abortion rights champion Kathleen Sebelius, who declared birth control and abortion-related services to be women’s “preventive” health care.",universal health care,right,1,XXX
What will stop the hyper sexualization of our children by the counterfeit sexual freedom culture?,marriage-equality,nan,0,XXX
"Major U.S. airlines warned on Wednesday that travel demand will continue to languish until there is a widespread COVID-19 vaccine, while awaiting developments in Washington on additional federal aid.",vaccines,nan,0,XXX
"American Outdoor Brands Corp AOBC.O said on Thursday it would split into two publicly traded companies, separating its popular Smith & Wesson firearms unit from its outdoor products and accessories business.",gun control,center,1,XXX
"Like many left-wing entertainer elites, Eilish has also been vocal about attacking President Trump and anyone who would vote for him.",blm,right,1,XXX
Hundreds of protesters defied an 8 p.m. curfew to gather in the streets around a police station burnt the previous night.,blm,center,1,XXX
"Thousands of Brazilians marched on Rio de Janeiro and Sao Paulo on Sunday (June 7) as part of the global Black Lives Matter protest, expressing their outrage at the death of George Floyd in the U.S. and against police brutality at home.",blm,center,1,XXX
"President Donald Trump and Democratic leaders agreed on Tuesday to spend $2 trillion on U.S. roads, bridges, power grids, water and broadband infrastructure, while leaving the thorny details of how to pay for it all to another meeting in three weeks.",taxes,center,1,XXX
"When it comes to the Green New Deal blueprint to address the climate crisis, Republicans generally like to pretend it calls for the elimination of hamburgers.",environment,left,1,XXX
"U.S. congressional Democrats on Saturday headed for a showdown with the Internal Revenue Service over President Donald Trump’s tax returns, setting a new hard deadline of April 23 for the federal tax agency to hand the documents over to lawmakers.",taxes,center,1,XXX
"Such a ban would have been of little impact because the key element in such mass attacks is time, and the Virginia Tech attacker had all the time in the world because his targets could not shoot back; they were in a gun-free zone.",gun control,right,1,XXX
"After Donald Trump’s outrageous photo op in which he used federal police to attack peaceful protesters so that he could walk to a church to hold up a Bible, others noted how inappropriate it was for General Mark Milley, the current chairman of the Joint Chiefs of Staff, to not only be tailing behind Donald Trump during this publicized stunt but to be wearing his battle fatigues, something extremely inappropriate for the setting.",trump-presidency,left,1,XXX
Owens defended herself Friday by insisting that her blackness was credential enough to claim expertise in domestic terrorism.,white-nationalism,left,1,XXX
"A report by the Institute on Taxation and Economic Policy, or ITEP, said data showed how profitable Fortune 500 companies have routinely lowered their tax bills long before the Republican tax overhaul signed into law by President Donald Trump in December.",taxes,nan,0,XXX
"Though conservatives try to demonize Ocasio-Cortez an Omar, their actual policy views are perfectly mainstream.  The New York lawmaker proposed a 70 percent tax on top incomes — a view backed by public opinion and many well-respected economists.",middle-class,left,1,XXX
"A Black man who was stopped on his bicycle for an alleged “vehicle code” violation was shot to death by two Los Angeles sheriff’s deputies, who fired 15 to 20 rounds after the man punched one officer and dropped a pistol on the ground, authorities said on Tuesday.",gun control,center,1,XXX
"The latter featured Clinton’s typical thimble full of warmth and charm, but with an amusing preamble.",vaccines,nan,0,XXX
"Male and female are the two sexes — but transgender advocates now claim more than 50 “genders” — including agender, bigender, gender fluid, gender non-conforming, genderqueer, intersex, two-spirit, etc, plus “cis-gender” for the 99+ percent of people who are normal, non-transgender people.",gender,right,1,XXX
"Kate Brown, an out bisexual, made history in November 2016 when she became the first openly LGBTQ person to ever be elected governor of a U.S. state. ",gender,left,1,XXX
America is in the midst of a new cultural civil war that for years has been brewing under the surface as left-wing academics breed aggressively woke children now permeating throughout the nation’s mainstream institutions.,marriage-equality,nan,0,XXX
"Republicans cheered their Mad King, while Democrats were disgusted and stunned.",islam,nan,0,XXX
"Sure, they’re pretending to be righteously upset about the death of George Floyd – but this is a pretty pathetic excuse, given that obviously the British government is not remotely responsible for the actions of the Minneapolis police department. ",blm,right,1,XXX
"From wildfires in Australia and California to hurricanes and flooding in Florida, a variety of extreme events will become more severe and more common as climate change accelerates.",environment,left,1,XXX
"As banks leave low-income communities and jack up the cost of basic financial services such as checking accounts, many Americans instead have to rely on expensive and often predatory “fringe banking” institutions, such as check-cashing businesses, payday lenders and pawnshops.",student-debt,left,1,XXX
"Wilson and Ali have received death threats for the ""crime"" of poking fun at Donald Trump and the members of his political cult.",islam,nan,0,XXX
"Rubio began his specific effort to sabotage the law in 2013, a few short years after entering the Senate and before setting out to win the White House. ",universal health care,left,1,XXX
Trump has made the deliberate choice to be the “divider-in-chief” and created a mindset of “us vs. them” that is tearing our nation apart.,marriage-equality,nan,0,XXX
"U.S. District Judge Reed O’Connor in Fort Worth, Texas, on Friday said that Obamacare, known formally as the 2010 Affordable Care Act (ACA), was unconstitutional based on its mandate requiring that people buy health insurance.",universal health care,center,1,XXX
